id,pred,spread,Team1,Team2,Season
2017_1112_1116,0.680704636164,4.97900715886,Arizona,Arkansas,2017
2017_1112_1124,0.429521091534,-1.88268231007,Arizona,Baylor,2017
2017_1112_1137,0.820564337478,9.72667420442,Arizona,Bucknell,2017
2017_1112_1139,0.582333504303,2.20361089475,Arizona,Butler,2017
2017_1112_1153,0.513092734814,0.347975060506,Arizona,Cincinnati,2017
2017_1112_1166,0.618296152964,3.19101755426,Arizona,Creighton,2017
2017_1112_1173,0.706648913271,5.76296801472,Arizona,Dayton,2017
2017_1112_1181,0.472885684741,-0.721062940781,Arizona,Duke,2017
2017_1112_1190,0.803173091484,9.04282027797,Arizona,ETSU,2017
2017_1112_1195,0.871988285105,12.0411255208,Arizona,FL Gulf Coast,2017
2017_1112_1196,0.428684996844,-1.90525723872,Arizona,Florida,2017
2017_1112_1199,0.505652693862,0.150213775921,Arizona,Florida St,2017
2017_1112_1211,0.29725245088,-5.64315530113,Arizona,Gonzaga,2017
2017_1112_1233,0.92448901439,15.2224097344,Arizona,Iona,2017
2017_1112_1235,0.545514105111,1.21207969657,Arizona,Iowa St,2017
2017_1112_1240,0.94697084374,17.1330996075,Arizona,Jacksonville St,2017
2017_1112_1242,0.40288651423,-2.60662059049,Arizona,Kansas,2017
2017_1112_1243,0.65853333791,4.3301528518,Arizona,Kansas St,2017
2017_1112_1245,0.917363328211,14.7095458914,Arizona,Kent,2017
2017_1112_1246,0.389574725461,-2.97283368274,Arizona,Kentucky,2017
2017_1112_1257,0.434315940444,-1.75338076205,Arizona,Louisville,2017
2017_1112_1266,0.712831139337,5.95435384984,Arizona,Marquette,2017
2017_1112_1268,0.707995757414,5.80450097029,Arizona,Maryland,2017
2017_1112_1274,0.687980569128,5.1959496522,Arizona,Miami FL,2017
2017_1112_1276,0.533565320248,0.892984483206,Arizona,Michigan,2017
2017_1112_1277,0.748752562946,7.10875537425,Arizona,Michigan St,2017
2017_1112_1278,0.673439589133,4.76445017931,Arizona,Minnesota,2017
2017_1112_1291,0.966822261392,19.4637264929,Arizona,Mt St Mary's,2017
2017_1112_1292,0.735503254791,6.6738335924,Arizona,MTSU,2017
2017_1112_1297,0.944554235108,16.9002173771,Arizona,N Kentucky,2017
2017_1112_1300,0.937817414326,16.2907391718,Arizona,NC Central,2017
2017_1112_1305,0.76779990863,7.75596328555,Arizona,Nevada,2017
2017_1112_1308,0.844003168505,10.7181892185,Arizona,New Mexico St,2017
2017_1112_1309,0.944014202981,16.8492761254,Arizona,New Orleans,2017
2017_1112_1314,0.415606365515,-2.25958115999,Arizona,North Carolina,2017
2017_1112_1315,0.92973651529,15.6241953336,Arizona,North Dakota,2017
2017_1112_1321,0.656916121617,4.28348174196,Arizona,Northwestern,2017
2017_1112_1323,0.510653003731,0.283115382452,Arizona,Notre Dame,2017
2017_1112_1329,0.523706850568,0.630332163081,Arizona,Oklahoma St,2017
2017_1112_1332,0.439210188047,-1.62166709103,Arizona,Oregon,2017
2017_1112_1343,0.79437708169,8.71093573283,Arizona,Princeton,2017
2017_1112_1344,0.813318080698,9.43696997674,Arizona,Providence,2017
2017_1112_1345,0.52838506929,0.754912559171,Arizona,Purdue,2017
2017_1112_1348,0.706085055042,5.74560645402,Arizona,Rhode Island,2017
